,Title,Year,Rated,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metascore,imdbRating,imdbVotes,DVD,BoxOffice,Production,Prod_counts,studio_size,meta_class
4534,Experimenter,2015,PG-13,98,Biography,Michael Almereyda,Michael Almereyda,"John Palladino, Anthony Edwards, Jim Gaffigan, Peter Sarsgaard","In 1961, famed social psychologist Stanley Milgram conducted a series of radical behavior experiments that tested ordinary humans' willingness to obey authority.",English,USA,Other Win,81.0,6.6,16480,1,155075.0,Magnolia Pictures,59.0,big,1
4535,Body,2015,Not Rated,75,Crime,"Dan Berk, Robert Olsen","Dan Berk, Robert Olsen","Helen Rogers, Alexandra Turshen, Lauren Molina, Larry Fessenden",A night out turns deadly when three girls break into a seemingly empty mansion.,English,USA,Nomination,49.0,5.2,1595,0,2457.0,Oscilloscope Pictures,15.0,small,0
4536,The Strongest Man,2015,Not Rated,99,Comedy,Kenny Riches,Kenny Riches,"Lisa Banes, Ashly Burch, Paul Chamberlain, Nancy Fong","The Strongest Man is a Miami-centric comedy about an anxiety-ridden Cuban man, who fancies himself the strongest man in the world. In a quest to recover his most beloved possession, a stolen bicycle, he finds and loses so much more.",English,USA,Nomination,39.0,6.1,158,1,0.0,FilmBuff,9.0,small,0
4538,Unexpected,2015,R,90,Comedy,Kris Rey,"Megan Mercier, Kris Rey","Cobie Smulders, Anders Holm, Gail Bean, Elizabeth McGovern",An inner-city high school teacher discovers she is pregnant at the same time as one of her most promising students and the two develop an unlikely friendship while struggling to navigate their unexpected pregnancies.,English,USA,Nomination,65.0,5.7,2911,1,0.0,The Film Arcade,18.0,small,1
4539,The Stanford Prison Experiment,2015,R,122,Biography,Kyle Patrick Alvarez,"Tim Talbott, Philip Zimbardo (based on the book ""The Lucifer Effect"")","Billy Crudup, Michael Angarano, Moises Arias, Nicholas Braun","In 1971, twenty-four male students are selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building.",English,USA,Other Win,67.0,6.9,33985,1,0.0,IFC Films,127.0,big,1
4540,Advantageous,2015,Not Rated,90,Drama,Jennifer Phang,"Jacqueline Kim, Jennifer Phang","Jacqueline Kim, James Urbaniak, Freya Adams, Ken Jeong","In a near-future city where soaring opulence overshadows economic hardship, Gwen and her daughter Jules do all they can to hold on to their joy together, despite the instability surfacing in their world.","English, French",USA,Other Win,59.0,6.2,4093,0,0.0,Film Presence,1.0,small,0
4541,Take Me to the River,2015,Not Rated,84,Drama,Matt Sobel,Matt Sobel,"Logan Miller, Robin Weigert, Josh Hamilton, Richard Schiff",A Californian teenager's plan to come out at his Nebraskan family reunion gets derailed when a bloodstain on his young cousin's dress makes him the unwitting suspect of abuse.,English,USA,Other Win,65.0,6.3,1649,1,27938.0,,,small,1
4544,Turbo Kid,2015,Not Rated,93,Action,"François Simard, Anouk Whissell, Yoann-Karl Whissell","Anouk Whissell, François Simard, Yoann-Karl Whissell","Munro Chambers, Laurence Leboeuf, Michael Ironside, Edwin Wright","In a post-apocalyptic wasteland in 1997, a comic book fan adopts the persona of his favourite hero to save his enthusiastic friend and fight a tyrannical overlord.",English,"Canada, New Zealand, USA",Other Win,60.0,6.7,24649,0,0.0,Epic Pictures Releasing,4.0,small,0
4545,Digging for Fire,2015,R,85,Drama,Joe Swanberg,"Jake Johnson, Joe Swanberg","Jake Johnson, Rosemarie DeWitt, Jude Swanberg, Alicia Van Couvering",The discovery of a bone and a gun send a husband and wife on separate adventures over the course of a weekend.,"English, Spanish",USA,Nomination,69.0,5.8,5248,1,119364.0,The Orchard,21.0,small,1
4546,Stinking Heaven,2015,Not Rated,70,Comedy,Nathan Silver,"Deragh Campbell (additional writing), Jack Dunphy (story), Hannah Gross (additional writing), Keith Poulson (additional writing), Nathan Silver (story)","Deragh Campbell, Henri Douvry, Jason Giampietro, Jason Grisell",A black as tar comedy charting the dissolution of a commune for sober living in 90's suburban New Jersey.,English,USA,Nomination,62.0,6.1,157,0,0.0,,,small,1
4547,People Places Things,2015,R,85,Comedy,Jim Strouse,Jim Strouse,"Jemaine Clement, Aundrea Gadsby, Gia Gadsby, Nancy Eng",Will Henry is a newly single graphic novelist balancing parenting his young twin daughters and a classroom full of students while exploring and navigating the rich complexities of new love and letting go of the woman who left him.,English,USA,Other Win,68.0,6.9,7655,1,30768.0,The Film Arcade,18.0,small,1
4548,Jupiter Ascending,2015,PG-13,127,Action,"Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski","Mila Kunis, Channing Tatum, Sean Bean, Eddie Redmayne",A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,"English, Russian","USA, Australia",Other Win,40.0,5.3,171184,1,43733037.0,Warner Bros. Pictures,138.0,big,0
4549,I'll See You in My Dreams,2015,PG-13,92,Comedy,Brett Haley,"Brett Haley, Marc Basch","Blythe Danner, June Squibb, Rhea Perlman, Mary Kay Place",A widow and former songstress discovers that life can begin anew at any age.,English,USA,Nomination,75.0,6.7,6559,1,0.0,WARNER BROTHERS PICTURES,2.0,small,1
4550,Zipper,2015,R,112,Drama,Mora Stephens,"Mora Stephens, Mora Stephens, Joel Viertel, Joel Viertel","Patrick Wilson, Lena Headey, Ray Winstone, Richard Dreyfuss",A successful family man with a blossoming political career loses all sense of morality when he becomes addicted to using an escort agency.,English,USA,,39.0,5.7,6320,1,0.0,Alchemy Films,1.0,small,0
4551,Songs My Brothers Taught Me,2015,Not Rated,98,Drama,Chloé Zhao,Chloé Zhao,"John Reddy, Jashaun St. John, Taysha Fuller, Eleonore Hendricks","With an older brother in jail and living with their single mother on Pine Ridge Reservation, Johnny and his sister Jashuan's lives develop new challenges when their absentee cowboy father ...",English,USA,Other Win,63.0,6.8,692,1,34195.0,Highwayman Films,1.0,small,1
4552,Results,2015,R,105,Comedy,Andrew Bujalski,Andrew Bujalski,"Guy Pearce, Cobie Smulders, Kevin Corrigan, Elizabeth Berridge","Two mismatched personal trainers' lives are upended by the actions of a new, wealthy client.","English, Japanese",USA,Nomination,73.0,5.4,6034,1,0.0,Magnolia Pictures,59.0,big,1
4553,The SpongeBob Movie: Sponge Out of Water,2015,PG,92,Animation,"Paul Tibbitt, Mike Mitchell","Glenn Berger (screenplay), Jonathan Aibel (screenplay), Stephen Hillenburg (story by), Paul Tibbitt (story by), Stephen Hillenburg (based on: the series ""SpongeBob SquarePants"",  created by), Vincent Waller (creative supervision)","Antonio Banderas, Eric Bauza, Tim Conway, Eddie Deezen","When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his nemesis Plankton must team up in order to get it back.",English,"USA, South Korea, Australia",Other Win,62.0,6.0,45586,1,0.0,Paramount Pictures,79.0,big,1
4554,Project Almanac,2015,PG-13,106,Drama,Dean Israelite,"Jason Pagan, Andrew Deutschman","Jonny Weston, Sofia Black-D'Elia, Sam Lerner, Allen Evangelista","A group of teens discover secret plans of a time machine, and construct one. However, things start to get out of control.",English,USA,,47.0,6.4,72992,1,0.0,Paramount Pictures,79.0,big,0
4555,Don Verdean,2015,PG-13,90,Adventure,Jared Hess,"Jared Hess, Jerusha Hess","Sam Rockwell, Amy Ryan, Will Forte, Danny McBride",A self-professed biblical archaeologist who has fallen on hard times starts to bend the truth in order to continue inspiring the faithful.,English,USA,,39.0,5.4,4394,1,30525.0,Lionsgate Films,48.0,big,0
4556,I Am Michael,2015,Not Rated,98,Biography,Justin Kelly,"Justin Kelly, Stacey Miller (based on an article by), Benoit Denizet Lewis (based on the magazine article ""My Ex-Gay Friend"" by)","James Franco, Zachary Quinto, Emma Roberts, Charlie Carver","Based on the fascinating true-life story of Michael Glatze, a gay activist who becomes a Christian pastor after identifying as a heterosexual.",English,USA,Other Win,56.0,5.6,4439,1,0.0,Brainstorm Media,8.0,small,0
4558,The Final Girls,2015,PG-13,88,Comedy,Todd Strauss-Schulson,"M.A. Fortin, Joshua John Miller","Taissa Farmiga, Malin Akerman, Alexander Ludwig, Nina Dobrev","A young woman grieving the loss of her mother, a famous scream queen from the 1980s, finds herself pulled into the world of her mom's most famous movie. Reunited, the women must fight off the film's maniacal killer.",English,"USA, Canada",Other Win,59.0,6.6,31535,1,0.0,Stage 6 Films,2.0,small,0
4561,Seoul Searching,2015,TV-MA,105,Comedy,Benson Lee,Benson Lee,"Justin Chon, Jessika Van, In-Pyo Cha, Teo Yoo","In 1986, a group of foreign born Korean teenagers attend a summer camp in South Korea.","English, Korean, German","South Korea, China, USA",Other Win,63.0,7.1,853,0,8966.0,Wonder Vision,1.0,small,1
4565,Grandma,2015,R,79,Comedy,Paul Weitz,Paul Weitz,"Lily Tomlin, Judy Greer, Julia Garner, Carlos Miranda","A teenager facing an unplanned pregnancy seeks help from her acerbic grandmother, a woman who is long estranged from her daughter.",English,USA,Other Win,77.0,6.7,13970,1,0.0,Sony Pictures Classics,43.0,big,1
4572,Home Sweet Hell,2015,R,98,Comedy,Anthony Burns,"Carlo Allen, Ted Elrick, Tom Lavagnino","Katherine Heigl, Patrick Wilson, Madison Wolfe, Aiden Flowers","Don Champagne seems to have it all, but when his wife, Mona, learns of his affair with a pretty new salesgirl, she will stop at nothing to maintain their storybook life.","English, French",USA,Nomination,22.0,5.4,13251,1,0.0,Vertical Entertainment,36.0,big,0
4574,Queen of the Desert,2015,PG-13,128,Adventure,Werner Herzog,Werner Herzog,"Nicole Kidman, James Franco, Robert Pattinson, Damian Lewis","A chronicle of Gertrude Bell's life, a traveler, writer, archaeologist, explorer, cartographer, and political attaché for the British Empire at the dawn of the twentieth century.","English, Arabic, Turkish, French","USA, Morocco",Nomination,39.0,5.7,9026,1,0.0,IFC Films,127.0,big,0
4577,Angelica,2015,Not Rated,95,Drama,Mitchell Lichtenstein,"Mitchell Lichtenstein (screenplay), Arthur Phillips (novel)","Jena Malone, Janet McTeer, Ed Stoppard, Tovah Feldshuh",A couple living in Victorian London endure an unusual series of psychological and supernatural happenings following the birth of their child.,"English, Italian",USA,,56.0,4.9,391,0,0.0,,,small,0
4581,Queen of Earth,2015,Not Rated,90,Drama,Alex Ross Perry,Alex Ross Perry,"Elisabeth Moss, Katherine Waterston, Patrick Fugit, Kentucker Audley",Two women who grew up together discover they have drifted apart when they retreat to a lake house together.,English,USA,Other Win,77.0,6.3,5346,1,0.0,IFC Films,127.0,big,1
4582,Knight of Cups,2015,R,118,Drama,Terrence Malick,Terrence Malick,"Christian Bale, Cate Blanchett, Natalie Portman, Brian Dennehy",A writer indulging in all that Los Angeles and Las Vegas has to offer undertakes a search for love and self via a series of adventures with six different women.,"English, German, Spanish, Serbian",USA,Other Win,53.0,5.7,23172,0,0.0,,,small,0
4584,Mr. Holmes,2015,PG,104,Drama,Bill Condon,"Mitch Cullin (novel), Jeffrey Hatcher (screenplay), Arthur Conan Doyle (created by)","Ian McKellen, Laura Linney, Milo Parker, Hiroyuki Sanada","An aged, retired Sherlock Holmes deals with early dementia, as he tries to remember his final case, and a mysterious woman, whose memory haunts him. He also befriends a fan, the young son of his housekeeper, who wants him to work again.","English, Japanese, French","UK, USA",Nomination,67.0,6.9,59208,1,14173994.0,Roadside Attractions,39.0,big,1
4586,"McFarland, USA",2015,PG,129,Biography,Niki Caro,"Christopher Cleveland (screenplay), Bettina Gilois (screenplay), Grant Thompson (screenplay), Christopher Cleveland (story), Bettina Gilois (story)","Kevin Costner, Ramiro Rodriguez, Carlos Pratts, Johnny Ortiz",Jim White moves his family after losing his last job as a football coach. He sees that some of the students are worth starting a cross-country team and turns seven students with no hope into one of the best cross-country teams.,"English, Spanish",USA,Other Win,60.0,7.4,32969,1,0.0,Walt Disney Pictures,68.0,big,0
4587,Fifty Shades of Grey,2015,R,125,Drama,Sam Taylor-Johnson,"Kelly Marcel (screenplay by), E.L. James (based on the novel by)","Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford","Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",English,USA,Oscar Win,46.0,4.1,285618,1,189859585.0,Focus Features,61.0,big,0
4588,Life,2017,R,104,Horror,Daniel Espinosa,"Rhett Reese, Paul Wernick","Hiroyuki Sanada, Ryan Reynolds, Rebecca Ferguson, Jake Gyllenhaal",A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.,"English, Japanese, Vietnamese",USA,Nomination,54.0,6.6,191103,1,30180466.0,Skydance Films,1.0,small,0
4590,One and Two,2015,Not Rated,90,Drama,Andrew Droz Palermo,"Andrew Droz Palermo, Neima Shahdadi","Kiernan Shipka, Timothée Chalamet, Elizabeth Reaser, Grant Bowler","Two siblings discover a supernatural escape from a troubled home, but find their bond tested when reality threatens to tear their family apart.",English,USA,Nomination,47.0,5.2,1454,1,0.0,,,small,0
4591,Accidental Love,2015,PG-13,100,Comedy,David O. Russell,"Kristin Gore (screenplay), Matthew Silverstein (screenplay), Dave Jeser (screenplay), Kristin Gore (screen story), Matthew Silverstein (screen story), Dave Jeser (screen story), Kristin Gore (novel)","Jessica Biel, Raymond L. Brown Jr., Jenny Gulley, Beverly D'Angelo","A small town waitress gets a nail accidentally lodged in her head causing unpredictable behavior that leads her to Washington, D.C., where sparks fly when she meets a clueless young senator who takes up her cause - but what happens when love interferes with what you stand for?","English, Portuguese","USA, UK",,20.0,4.1,7274,1,0.0,Millennium Entertainment,13.0,small,0
4597,Focus,2015,R,105,Comedy,"Glenn Ficarra, John Requa","Glenn Ficarra, John Requa","Will Smith, Margot Robbie, Adrian Martinez, Gerald McRaney","In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.","English, Spanish","USA, Argentina",Nomination,56.0,6.6,199691,1,50265541.0,Warner Bros. Pictures,138.0,big,0
4598,The Duff,2015,PG-13,101,Comedy,Ari Sandel,"Josh A. Cagan (screenplay), Kody Keplinger (novel)","Mae Whitman, Robbie Amell, Bella Thorne, Bianca A. Santos","A high school senior instigates a social pecking order revolution after finding out that she has been labeled the DUFF - Designated Ugly Fat Friend - by her prettier, more popular counterparts.","English, Spanish",USA,Other Win,56.0,6.5,77793,1,30777437.0,Lionsgate Films,48.0,big,0
4601,Cinderella,2015,PG,105,Drama,Kenneth Branagh,"Chris Weitz (screenplay by), Charles Perrault (story)","Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter","When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",English,"USA, UK",Oscar Win,67.0,6.9,149757,1,183327144.0,Walt Disney Pictures,68.0,big,1
4609,The Gunman,2015,R,115,Action,Pierre Morel,"Jean-Patrick Manchette (novel), Don MacPherson (screenplay), Pete Travis (screenplay), Sean Penn (screenplay)","Sean Penn, Jasmine Trinca, Javier Bardem, Ray Winstone","A sniper on a mercenary assassination team, kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later, he becomes the target of a hit squad himself.","English, Spanish","USA, Spain, UK, France",Nomination,39.0,5.8,37277,1,7926657.0,Open Road Films,38.0,big,0
4611,The Lazarus Effect,2015,PG-13,83,Horror,David Gelb,"Luke Dawson, Jeremy Slater","Mark Duplass, Olivia Wilde, Sarah Bolger, Evan Peters",A group of medical researchers discover a way to bring dead patients back to life.,English,USA,Nomination,31.0,5.2,39069,0,0.0,,,small,0
4614,Hot Tub Time Machine 2,2015,R,93,Comedy,Steve Pink,"Josh Heald, Josh Heald (characters), John Karnay (additional screenwriting)","Rob Corddry, Craig Robinson, Clark Duke, Adam Scott","When Lou gets killed, Nick and Jacob fire up the hot tub time machine to get back to the past, but they inadvertently land in the future with Adam Jr. Now they have to alter the future in ...",English,USA,Nomination,29.0,5.1,35344,1,0.0,Paramount Pictures,79.0,big,0
4623,The Second Best Exotic Marigold Hotel,2015,PG,122,Comedy,John Madden,"Ol Parker (screenplay by), Ol Parker (screen story by), John Madden (screen story by)","Dev Patel, Maggie Smith, Danny Mahoney, David Strathairn","As the Best Exotic Marigold Hotel has only a single remaining vacancy, posing a rooming predicament for two fresh arrivals, Sonny Kapoor (Dev Patel) pursues his expansionist dream of opening a second hotel.",English,"UK, USA",Nomination,51.0,6.6,29689,1,38996694.0,20th Century Fox,133.0,big,0
4624,Kidnapping Mr. Heineken,2015,R,95,Action,Daniel Alfredson,"William Brookfield, Peter R. de Vries (book)","Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins","The inside story of the planning, execution, rousing aftermath, and ultimate downfall of the kidnappers of beer tycoon Alfred ""Freddy"" Heineken in 1983, which resulted in the largest ransom ever paid for an individual.","English, Dutch, German","Netherlands, Belgium, UK, USA",,33.0,6.1,18231,1,0.0,Alchemy,13.0,small,0
4626,Into the Grizzly Maze,2015,R,94,Action,David Hackl,"Guy Moshe (screenplay), J.R. Reher (screenplay), J.R. Reher (story)","James Marsden, Thomas Jane, Piper Perabo, Scott Glenn",Two estranged brothers reunite at their childhood home in the Alaskan wild. They set out on a two-day hike and are stalked by an unrelenting grizzly bear.,"English, American Sign Language","USA, Canada",,43.0,5.3,7246,0,0.0,Open Road Films,38.0,big,0
4631,Ana Maria in Novela Land,2015,Not Rated,89,Comedy,Georgina Garcia Riedel,"Georgina Garcia Riedel, Jose Nestor Marquez","Edy Ganem, Michael Steger, Juan Pablo Gamboa, Sosie Bacon","Ana Maria is having a bad day until she magically switches places with the main character of her favorite telenovela. As she struggles to escape from Novela Land, Ana Maria finally understands why her real life was such a mess.",English,USA,Nomination,51.0,5.6,307,0,0.0,Fluency Studios,1.0,small,0
4634,For Here or to Go?,2015,Not Rated,105,Comedy,Rucha Humnabadkar,Rishi Bhilawadikar,"Ali Fazal, Melanie Chandra, Rajit Kapur, Amitosh Nagpal",An aspiring Indian tech entrepreneur in the Silicon Valley finds himself unexpectedly battling the bizarre American immigration system to keep his dream alive or prepare to return home forever.,English,"USA, India",,56.0,7.9,136,0,0.0,,,small,0
4637,Unfinished Business,2015,R,91,Comedy,Ken Scott,Steve Conrad,"Vince Vaughn, Tom Wilkinson, Dave Franco, Sienna Miller","A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives. But what began as a routine business trip goes off the rails in every way imaginable, and unimaginable.",English,USA,Nomination,32.0,5.4,30111,1,0.0,20th Century Fox,133.0,big,0
4638,Chappie,2015,R,120,Action,Neill Blomkamp,"Neill Blomkamp, Terri Tatchell","Sharlto Copley, Dev Patel, Ninja, Yo-Landi Visser","In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.",English,"South Africa, USA",Nomination,41.0,6.8,218963,1,0.0,Sony Pictures,90.0,big,0
4643,Road Hard,2015,Not Rated,98,Comedy,"Adam Carolla, Kevin Hench","Adam Carolla, Kevin Hench","Larry Clarke, Jonathan Klein, Adam Carolla, Jim O'Heir","Following an expensive divorce and the cancellation of his TV show, a stand-up comic is forced to go back on the road to provide for his daughter.",English,USA,,50.0,6.1,1704,1,0.0,FilmBuff,9.0,small,0
4648,Run All Night,2015,R,114,Action,Jaume Collet-Serra,Brad Ingelsby,"Liam Neeson, Ed Harris, Joel Kinnaman, Boyd Holbrook","Mobster and hit man Jimmy Conlon has one night to figure out where his loyalties lie: with his estranged son, Mike, whose life is in danger, or his longtime best friend, mob boss Shawn Maguire, who wants Mike to pay for the death of his own son.",English,USA,,59.0,6.6,96595,1,0.0,Warner Bros.,23.0,small,0
4653,Insurgent,2015,PG-13,119,Action,Robert Schwentke,"Brian Duffield (screenplay by), Akiva Goldsman (screenplay by), Mark Bomback (screenplay by), Veronica Roth (based on the novel ""Insurgent"" by)","Kate Winslet, Jai Courtney, Mekhi Phifer, Shailene Woodley",Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,English,USA,Other Win,42.0,6.2,205664,1,114138208.0,Lionsgate Films,48.0,big,0
4657,The Invitation,2015,Not Rated,100,Drama,Karyn Kusama,"Phil Hay, Matt Manfredi","Logan Marshall-Green, Tammy Blanchard, Emayatzy Corinealdi, Aiden Lovekamp","A man accepts an invitation to a dinner party hosted by his ex-wife, an unsettling affair that reopens old wounds and creates new tensions.",English,USA,Other Win,74.0,6.6,77995,1,231703.0,Drafthouse Films,8.0,small,1
4659,Night Owls,2015,R,90,Comedy,Charles Hood,"Seth Goldsmith, Charles Hood","Adam Pally, Rosa Salazar, Rob Huebel, Tony Hale","After workaholic Kevin has a drunken one night stand with the beautiful train-wreck Madeline, he's horrified to discover that she's actually his boss' jilted ex-mistress. When she takes a ...",English,USA,Other Win,73.0,6.2,2043,0,0.0,Haven Entertainment,1.0,small,1
4662,Uncle Kent 2,2015,Not Rated,73,Comedy,Todd Rohal,Kent Osborne,"Kent Osborne, Joe Swanberg, Jude Swanberg, Tom Fitzpatrick","In a desperate search to create a follow-up to Joe Swanberg's 2011 film UNCLE KENT, Kent Osborne travels to a comic book convention where he loses his mind and confronts the end of the world.",English,USA,Other Win,54.0,5.8,113,1,0.0,Lodger Films,1.0,small,0
4663,The Boy,2016,PG-13,97,Horror,William Brent Bell,Stacey Menear,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton","An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",English,"USA, Canada, China",Nomination,42.0,6.0,72053,1,30196680.0,STX Entertainment,9.0,small,0
4667,Creative Control,2015,R,97,Drama,Benjamin Dickinson,"Micah Bloomberg, Benjamin Dickinson","Benjamin Dickinson, Nora Zehetner, Dan Gill, Alexia Rasmussen","In near future Brooklyn, an ad executive uses a new Augmented Reality technology to conduct an affair with his best friend's girlfriend...sort of.",English,USA,Other Win,58.0,5.4,2004,0,0.0,,,small,0
4669,Naz & Maalik,2015,Not Rated,86,Adventure,Jay Dockendorf,"Jay Dockendorf, Jay Dockendorf","Kerwin Johnson Jr., Curtiss Cook Jr., Annie Grier, Ashleigh Awusie","Two closeted Muslim teens hawk goods across Brooklyn and struggle to come clean about their sexuality, as their secretive behavior leads them unknowingly into the cross-hairs of the War on Terror.",English,USA,Other Win,65.0,5.6,257,0,0.0,,,small,1
4670,Deathgasm,2015,Not Rated,86,Action,Jason Lei Howden,Jason Lei Howden,"Milo Cawthorne, James Joshua Blake, Kimberley Crossman, Sam Berkley",Two teenage boys unwittingly summon an ancient evil entity known as The Blind One by delving into black magic while trying to escape their mundane lives.,English,"New Zealand, USA",Other Win,65.0,6.3,14547,1,0.0,,,small,1
4671,"Hello, My Name Is Doris",2015,R,90,Comedy,Michael Showalter,"Laura Terruso (screenplay), Michael Showalter (screenplay), Laura Terruso (short film ""Doris & the Intern"")","Sally Field, Edmund Lupinski, Norma Michaels, Stephen Root",A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.,English,USA,Other Win,63.0,6.6,17916,1,14443077.0,Red Crown Productions,2.0,small,1
4672,6 Years,2015,Not Rated,79,Drama,Hannah Fidell,Hannah Fidell,"Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard","A young couple, bound by a seemingly ideal love, begin to unravel as unexpected opportunities spin them down a volatile and violent path and threaten the future they had always imagined.",English,USA,Nomination,53.0,5.6,10578,1,0.0,,,small,0
4673,Lamb,2015,R,97,Drama,Ross Partridge,"Bonnie Nadzam (novel), Ross Partridge (screenplay), Ross Partridge","Ross Partridge, Oona Laurence, Jess Weixler, Tom Bower",When a man meets a young girl in a parking lot he attempts to help her avoid a bleak destiny by initiating her into the beauty of the outside world. The journey shakes them in ways neither expects.,English,USA,Other Win,62.0,6.3,1732,0,0.0,,,small,1
4674,Addicted to Fresno,2015,Not Rated,85,Comedy,Jamie Babbit,Karey Dornetto,"Judy Greer, Natasha Lyonne, Malcolm Barrett, Jessica St. Clair",Follows the lives two co-dependent sisters who work as hotel maids in Fresno.,English,USA,Nomination,34.0,5.4,2140,0,0.0,Gravitas Ventures,35.0,big,0
4677,Touched with Fire,2015,R,106,Drama,Paul Dalio,Paul Dalio,"Katie Holmes, Luke Kirby, Christine Lahti, Griffin Dunne",Two bipolar patients meet in a psychiatric hospital and begin a romance that brings out all of the beauty and horror of their condition.,English,USA,Other Win,62.0,6.2,2042,0,0.0,,,small,1
4678,Quitters,2015,R,95,Comedy,Noah Pritzker,"Noah Pritzker, Noah Pritzker, Ben Tarnoff, Ben Tarnoff","Ben Konigsberg, Greg Germann, Mira Sorvino, Kara Hayward","A teenager's family falls apart, so he finds a better one.",English,USA,Nomination,51.0,5.4,176,1,0.0,AgX,1.0,small,0
4679,Spy,2015,R,120,Action,Paul Feig,Paul Feig,"Jude Law, Raad Rawi, Melissa McCarthy, Jessica Chaffin","A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.","Hungarian, English, French, Italian, German","USA, UK, France, Hungary, Germany",Other Win,75.0,7.0,218778,1,89914425.0,20th Century Fox,133.0,big,1
4680,The Automatic Hate,2015,Not Rated,97,Comedy,Justin Lerner,"Justin Lerner, Katharine O'Brien","Joseph Cross, Adelaide Clemens, Deborah Ann Woll, Richard Schiff","When chef Davis's alluring young cousin Alexis appears on his doorstep one night, he discovers that a side of his family has been kept secret from him. Against his father's wishes, he ...",English,USA,Nomination,59.0,6.3,819,1,0.0,BN Films,1.0,small,0
4681,Funny Bunny,2015,Not Rated,85,Comedy,Alison Bagnall,"Olly Alexander, Kentucker Audley, Alison Bagnall, Joslyn Jensen","Olly Alexander, Kentucker Audley, Joslyn Jensen, Albert Birney",A latchkey trust-funder and a hapless anti-childhood-obesity crusader bond as they vie for the heart of a troubled animal activist.,English,USA,Other Win,47.0,6.5,128,0,0.0,,,small,0
4683,7 Chinese Brothers,2015,Not Rated,76,Comedy,Bob Byington,Bob Byington,"Jason Schwartzman, Olympia Dukakis, Tunde Adebimpe, Eleanore Pienta","Sharing a small apartment with his sleepy French bulldog, an unmotivated thirty-something slacker lands a job at a Quick Lube, to be close to the shop's beautiful manager. Has he found a new purpose in life? Is there still hope?",English,USA,Other Win,56.0,5.7,1362,1,0.0,Screen Media Films,19.0,small,0
4684,The Walking Deceased,2015,R,88,Comedy,Scott Dow,Tim Ogletree,"Tim Ogletree, Joey Oglesby, Troy Ogletree, Dave Sheridan","When a police officer wakes up in a hospital to find out he is in the middle of a zombie apocalypse, he will do anything to find his family, even sacrifice Twitter.",English,USA,,9.0,3.5,2988,1,0.0,Arc Entertainment,19.0,small,0
4685,We Are Still Here,2015,Not Rated,84,Horror,Ted Geoghegan,Ted Geoghegan,"Barbara Crampton, Andrew Sensenig, Lisa Marie, Larry Fessenden","In the cold, wintery fields of New England, a lonely old house wakes up every thirty years - and demands a sacrifice.",English,USA,Other Win,65.0,5.7,16031,1,0.0,Dark Sky Films,6.0,small,1
4686,The Grief of Others,2015,Not Rated,103,Drama,Patrick Wang,"Leah Hager Cohen (novel), Patrick Wang (screenplay)","Wendy Moniz-Grillo, Trevor St. John, Rachel Dratch, Chris Conroy",The story is based on the novel by Leah Hager Cohen in which a couple's baby dies 57 hours after his birth and the parents try to return to their previous lives and struggle to regain a ...,English,USA,Nomination,78.0,6.2,107,1,0.0,Vanishing Angle,2.0,small,1
4687,Get Hard,2015,R,100,Comedy,Etan Cohen,"Jay Martel (screenplay), Ian Roberts (screenplay), Etan Cohen (screenplay), Adam McKay (story), Jay Martel (story), Ian Roberts (story)","Will Ferrell, Kevin Hart, Craig T. Nelson, Alison Brie","When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars.",English,USA,Nomination,34.0,6.0,114774,1,0.0,Warner Bros. Pictures,138.0,big,0
